PageLikes,Type,Month,Weekday,Hour,Paid,Total
139441,Photo,12,3,3,0,80
139441,Photo,12,4,3,0,100
139441,Photo,12,5,10,0,104
139441,Photo,12,5,10,0,106
139441,Photo,12,6,10,0,142
139441,Photo,12,5,3,0,152
139441,Status,12,3,10,0,164
139441,Status,12,1,9,0,186
139441,Status,12,7,3,0,192
139441,Status,12,5,10,0,252
139441,Photo,12,1,3,1,279
139441,Photo,12,7,9,1,339
139441,Photo,12,2,3,0,393
139441,Photo,12,2,10,1,1777
138895,Photo,12,3,10,0,39
138895,Photo,12,7,3,0,59
138895,Photo,12,2,3,0,75
138895,Photo,12,7,10,1,100
138895,Photo,12,1,3,0,113
138895,Photo,12,2,9,0,125
138895,Photo,12,4,2,0,162
138895,Video,12,4,11,1,174
138895,Photo,12,1,11,0,199
138895,Photo,12,3,3,0,204
138895,Link,12,6,3,1,211
138895,Status,12,6,11,0,262
138895,Status,12,7,9,0,269
138895,Photo,12,5,3,0,622
138458,Status,12,6,3,0,106
138458,Photo,12,5,3,0,117
138458,Status,12,5,11,0,494
138414,Photo,12,7,10,0,0
138414,Link,12,7,10,0,18
138414,Photo,12,1,11,0,42
138414,Photo,12,3,3,0,54
138414,Status,12,2,3,0,75
138414,Photo,12,1,3,0,81
138414,Photo,12,7,3,0,96
138414,Status,12,3,10,0,108
138414,Status,12,6,10,0,121
138414,Photo,12,4,5,1,599
138414,Photo,12,2,12,1,713
138353,Link,12,2,2,0,14
138353,Link,12,3,2,0,32
138353,Photo,12,5,10,0,36
138353,Link,12,5,3,1,46
138353,Photo,11,1,9,0,58
138353,Photo,12,4,11,0,58
138353,Link,12,4,3,1,71
138353,Photo,12,2,11,0,92
138353,Status,12,3,11,0,214
138329,Photo,11,5,3,0,53
138329,Video,11,6,2,1,81
138329,Photo,11,6,10,0,83
138329,Photo,11,7,3,0,87
138329,Photo,11,4,10,0,90
138329,Photo,11,4,3,1,160
138329,Photo,11,5,11,0,220
138329,Photo,11,7,9,0,242
138329,Photo,11,1,3,1,337
138185,Photo,11,7,11,0,55
138185,Photo,11,1,10,0,69
138185,Photo,11,6,11,0,70
138185,Photo,11,1,3,0,119
138185,Photo,11,3,11,1,123
138185,Photo,11,3,2,1,162
138185,Photo,11,2,10,1,202
138185,Photo,11,2,3,1,245
138185,Photo,11,7,3,1,787
137893,Photo,11,3,2,0,0
137893,Video,11,3,11,0,114
137893,Photo,11,6,3,0,119
137893,Photo,11,5,10,1,162
137893,Photo,11,4,2,1,233
137893,Status,11,4,11,0,273
137893,Photo,11,3,2,1,505
137893,Video,11,5,3,1,550
137177,Photo,11,7,12,0,38
137177,Photo,11,3,3,0,39
137177,Photo,11,1,3,0,64
137177,Photo,11,1,10,0,97
137177,Status,11,7,3,0,101
137177,Status,11,5,2,0,117
137177,Photo,11,5,10,1,122
137177,Photo,11,4,9,1,158
137177,Link,11,4,3,0,163
137177,Photo,11,6,3,0,252
137177,Photo,11,3,10,0,311
137177,Photo,11,6,10,0,441
137059,Photo,10,6,3,0,65
137059,Photo,11,1,9,0,91
137059,Photo,11,2,11,1,126
137059,Photo,11,7,9,0,129
137059,Photo,10,5,11,0,142
137059,Photo,11,7,4,0,148
137059,Photo,10,6,10,0,185
137059,Photo,11,1,3,0,342
137059,Photo,11,2,3,0,421
137020,Photo,10,4,9,1,0
137020,Photo,10,3,4,0,17
137020,Photo,10,2,11,1,72
137020,Photo,10,3,10,0,79
137020,Photo,10,1,11,0,222
137020,Status,10,5,3,1,378
137020,Photo,10,4,10,0,430
137020,Photo,10,2,4,0,1136
137020,Photo,10,4,3,0,1626
136736,Photo,10,6,8,0,0
136736,Photo,10,6,10,0,34
136736,Photo,10,6,4,0,139
136736,Photo,10,7,9,0,148
136736,Status,10,1,4,0,238
136736,Status,10,7,3,0,271
136642,Photo,10,7,12,1,6
136642,Photo,10,7,11,0,7
136642,Photo,10,7,10,0,9
136642,Photo,10,7,13,0,17
136642,Photo,10,1,3,1,97
136642,Photo,10,7,12,0,458
136393,Photo,10,7,9,0,2
136393,Photo,10,6,12,0,3
136393,Photo,10,7,8,0,4
136393,Photo,10,6,13,0,5
136393,Photo,10,7,7,0,6
136393,Photo,10,7,6,0,7
136393,Photo,10,7,10,0,8
136393,Photo,10,7,5,0,9
136393,Photo,10,6,13,0,10
136393,Photo,10,6,11,0,10
136393,Photo,10,6,9,0,10
136393,Photo,10,6,9,0,10
136393,Photo,10,6,8,0,12
136393,Photo,10,6,6,0,34
136393,Link,10,5,10,0,48
136393,Photo,10,6,2,0,68
136393,Status,10,7,9,0,232
136393,Photo,10,7,3,0,242
136013,Photo,10,5,8,0,39
136013,Photo,10,2,3,1,53
136013,Photo,10,1,10,1,96
136013,Photo,10,4,10,1,100
136013,Status,10,5,3,0,154
136013,Link,10,4,3,0,202
136013,Photo,10,1,3,0,204
136013,Status,10,3,10,0,265
136013,Photo,10,2,10,1,447
136013,Status,10,3,2,1,1009
135713,Link,10,6,11,1,35
135713,Photo,10,7,10,0,94
135713,Status,10,7,4,0,179
135713,Photo,10,4,10,0,193
135713,Photo,10,5,11,0,200
135713,Photo,10,6,4,0,367
135713,Photo,10,4,1,0,387
135713,Photo,10,5,4,1,454
135700,Photo,9,3,7,0,70
135700,Photo,9,2,2,0,137
135700,Photo,9,2,11,0,163
135700,Photo,9,1,10,0,252
135617,Photo,9,1,3,1,98
135617,Photo,9,7,3,0,282
135617,Status,9,6,4,0,288
135617,Photo,9,7,9,0,409
135617,Photo,9,6,10,0,410
135428,Photo,9,5,10,0,18
135428,Photo,9,4,10,1,84
135428,Photo,9,3,2,1,121
135428,Photo,9,5,3,1,132
135428,Photo,9,4,2,1,557
135428,Photo,9,3,10,0,1974
135195,Photo,9,2,2,0,38
135195,Status,9,6,10,1,189
135195,Photo,9,4,10,0,194
135195,Photo,9,2,9,0,217
135195,Photo,9,1,4,0,225
135195,Status,9,1,10,0,228
135195,Photo,9,7,3,0,243
135195,Photo,9,5,11,0,276
135195,Photo,9,5,2,0,299
135195,Photo,9,6,3,1,1174
134879,Photo,9,7,10,0,67
134879,Photo,9,1,10,0,72
134879,Photo,9,2,3,0,90
134879,Photo,9,3,10,0,114
134879,Photo,9,7,4,1,117
134879,Status,9,4,4,1,199
134879,Photo,9,1,6,0,263
134879,Photo,9,3,2,1,271
134879,Video,9,2,10,0,472
133679,Photo,8,1,4,0,70
133679,Photo,9,2,3,1,119
133679,Photo,9,2,10,0,164
133679,Photo,8,1,10,0,818
133594,Photo,8,5,13,0,60
133594,Photo,8,6,8,0,73
133594,Photo,8,7,10,1,133
133594,Photo,8,6,10,0,330
133594,Photo,8,7,3,0,490
133451,Photo,8,4,9,1,32
132817,Photo,8,3,9,0,45
132817,Status,8,3,2,1,70
132817,Photo,8,2,3,0,132
132817,Photo,8,4,3,1,166
132817,Photo,8,2,10,0,243
132817,Photo,8,4,10,0,1290
132201,Photo,8,4,11,1,15
132201,Photo,8,1,12,1,42
132201,Photo,8,5,1,0,50
132201,Photo,8,7,3,0,66
132201,Photo,8,6,10,1,98
132201,Photo,8,6,3,1,107
132201,Photo,8,7,10,0,162
132201,Photo,8,5,10,0,287
132201,Photo,8,4,3,1,470
132201,Photo,8,1,3,0,931
131956,Photo,8,3,4,0,28
131956,Status,8,2,12,0,57
131956,Photo,8,1,4,0,96
131956,Photo,8,2,7,0,100
131956,Photo,8,3,10,0,126
131956,Photo,8,7,10,0,212
131956,Photo,8,1,12,0,271
131808,Status,8,7,4,0,86
131808,Photo,8,6,6,0,103
131808,Status,7,5,14,0,121
131808,Status,8,6,10,1,404
131728,Photo,7,4,10,1,126
131728,Photo,7,5,8,1,217
131728,Photo,7,4,3,0,456
131630,Status,7,2,6,1,21
131630,Photo,7,1,11,0,54
131630,Photo,7,2,13,0,114
131630,Photo,7,1,5,0,120
131630,Photo,7,3,13,0,130
131630,Photo,7,2,23,0,135
131300,Status,7,7,10,0,17
131300,Photo,7,6,2,0,128
131300,Photo,7,6,10,0,139
131300,Photo,7,7,4,0,294
130791,Photo,7,2,8,0,88
130791,Photo,7,4,11,0,144
130791,Photo,7,5,11,1,186
130791,Photo,7,2,13,0,188
130791,Video,7,3,11,1,409
130791,Status,7,4,6,0,572
130791,Photo,7,5,3,0,624
130791,Photo,7,3,5,1,6334
129600,Photo,7,7,11,1,68
129600,Photo,7,4,12,1,85
129600,Photo,7,7,6,1,85
129600,Photo,7,1,12,0,115
129600,Photo,7,1,6,0,118
129600,Photo,7,3,13,1,118
129600,Photo,7,2,7,1,143
129600,Photo,7,4,6,1,160
129600,Photo,7,2,13,0,202
129600,Photo,7,3,1,0,203
129600,Photo,7,6,11,0,234
129600,Photo,7,6,5,0,274
129600,Photo,7,1,13,0,290
129600,Status,7,5,12,1,300
129600,Photo,7,5,3,0,823
128032,Photo,7,4,9,1,53
128032,Photo,7,6,13,1,55
128032,Photo,7,7,11,1,75
128032,Photo,7,1,3,0,79
128032,Status,7,5,10,0,87
128032,Photo,7,6,3,0,101
128032,Photo,7,5,3,0,195
128032,Photo,7,3,10,1,269
128032,Photo,7,7,3,0,596
128032,Photo,7,4,5,1,730
127082,Photo,7,3,3,1,587
126424,Photo,7,3,4,1,30
126424,Photo,7,4,3,0,71
126424,Status,7,3,13,0,148
126424,Photo,7,4,12,0,171
126424,Video,6,2,13,0,271
126345,Photo,6,1,12,0,49
126345,Photo,6,1,4,0,89
126345,Status,6,7,11,0,117
126345,Photo,6,2,3,0,194
126345,Photo,6,2,9,1,218
126141,Photo,6,5,11,1,18
126141,Photo,6,7,4,1,39
126141,Status,6,6,4,0,94
126141,Photo,6,4,22,1,125
126141,Photo,6,6,12,0,152
126141,Photo,6,4,12,0,605
125612,Photo,6,3,11,0,24
125612,Photo,6,4,7,0,25
125612,Photo,6,2,2,0,66
125612,Photo,6,4,11,0,67
125612,Photo,6,1,3,0,72
125612,Photo,6,2,13,0,93
125612,Photo,6,7,11,0,94
125612,Photo,6,3,3,0,95
125612,Photo,6,1,14,0,117
125612,Photo,6,4,3,0,172
124940,Photo,6,7,4,0,15
124940,Photo,6,1,13,0,25
124940,Photo,6,6,12,1,28
124940,Photo,6,7,10,0,73
124940,Photo,6,7,3,1,82
124940,Photo,6,6,2,1,89
124940,Photo,6,1,3,0,99
124940,Photo,6,2,3,0,135
124940,Photo,6,4,12,0,155
124940,Photo,6,2,13,0,163
124940,Photo,6,3,3,1,184
124940,Photo,6,3,13,0,188
124940,Photo,6,6,4,0,218
124940,Photo,6,5,13,1,234
124940,Photo,6,4,2,0,238
124940,Photo,6,6,9,0,285
124940,Photo,6,5,3,1,363
123047,Photo,6,3,11,0,41
123047,Photo,6,2,13,0,59
123047,Photo,6,1,3,1,65
123047,Photo,6,5,12,0,75
123047,Photo,6,2,5,1,83
123047,Photo,6,5,3,0,90
123047,Photo,6,4,13,0,226
123047,Photo,6,4,5,1,235
123047,Photo,6,1,10,0,1439
121540,Photo,6,1,3,0,45
121540,Photo,5,7,14,0,97
120050,Photo,5,5,9,1,122
120050,Photo,5,4,4,1,180
120050,Photo,5,3,12,0,251
120050,Photo,5,4,12,0,691
119198,Photo,5,2,12,0,60
119198,Status,5,1,2,0,67
119198,Photo,5,6,14,0,83
119198,Photo,5,2,1,0,84
119198,Photo,5,6,6,0,99
119198,Photo,5,3,5,0,134
119198,Photo,5,7,2,0,180
119198,Photo,5,5,10,1,313
117764,Link,5,1,2,0,63
117764,Photo,5,6,13,0,72
117764,Photo,5,3,11,0,114
117764,Photo,5,1,13,1,136
117764,Photo,5,7,13,1,179
117764,Photo,5,6,8,1,190
117764,Photo,5,2,11,0,232
117764,Photo,5,4,4,0,254
117764,Photo,5,4,10,0,390
117764,Photo,5,7,2,0,948
117764,Photo,5,5,13,0,1806
116435,Photo,5,2,14,0,118
116435,Photo,5,1,13,0,167
116435,Photo,5,2,8,0,188
116435,Photo,5,5,9,0,190
116435,Photo,5,4,13,1,203
116435,Status,5,4,3,1,255
116435,Photo,5,3,7,0,429
116091,Photo,5,6,9,0,99
116091,Photo,5,6,3,0,105
116091,Status,5,5,7,0,166
116091,Photo,5,7,14,0,174
116091,Photo,5,1,3,0,309
116091,Photo,5,7,2,0,335
115893,Photo,4,4,15,1,210
115893,Photo,4,3,13,0,236
115368,Photo,4,1,2,0,54
115368,Photo,4,3,8,0,157
115368,Photo,4,2,2,1,189
115368,Photo,4,2,13,0,355
113028,Link,4,5,7,1,56
113028,Photo,4,4,12,1,75
113028,Photo,4,5,5,0,121
113028,Photo,4,7,3,1,200
113028,Photo,4,6,14,0,528
113028,Status,4,6,3,1,587
111620,Photo,4,3,7,0,79
111620,Photo,4,2,6,1,165
111620,Photo,4,7,14,0,212
111620,Photo,4,2,13,1,295
111620,Photo,4,4,7,1,316
111620,Photo,4,1,14,1,2177
109670,Photo,4,3,8,0,40
109670,Photo,4,2,13,0,44
109670,Photo,4,4,3,0,56
109670,Photo,4,2,2,1,62
109670,Photo,4,5,13,0,69
109670,Photo,4,7,14,0,71
109670,Photo,4,6,13,0,87
109670,Photo,4,1,2,0,115
109670,Photo,4,6,3,0,122
109670,Photo,4,3,13,1,126
109670,Photo,4,5,7,1,183
109670,Photo,4,6,20,0,280
109670,Photo,4,1,13,1,881
107907,Photo,4,6,9,0,58
107907,Photo,4,1,3,0,77
107907,Photo,4,5,3,0,90
107907,Photo,4,7,10,0,90
107907,Photo,4,5,9,0,97
107907,Photo,4,6,3,1,115
107907,Photo,4,4,5,1,122
107907,Photo,4,7,3,0,124
107907,Photo,4,7,13,0,138
107907,Photo,4,3,4,1,149
107907,Photo,4,4,13,0,225
107907,Photo,4,3,13,1,376
107907,Link,4,2,6,0,420
106928,Link,4,6,4,0,44
106928,Photo,4,6,9,1,67
106928,Photo,4,4,13,0,91
106928,Photo,4,4,3,1,104
106928,Photo,4,5,13,0,168
106928,Photo,4,5,3,0,173
104070,Photo,3,3,10,0,0
104070,Status,3,3,15,0,34
104070,Photo,3,5,14,1,81
104070,Photo,3,4,14,1,208
104070,Photo,3,4,7,0,249
102112,Photo,3,1,19,0,2
102112,Photo,3,1,18,0,38
102112,Photo,3,2,3,0,39
102112,Photo,3,3,10,0,39
102112,Photo,3,3,4,0,53
102112,Photo,3,2,12,0,74
102112,Link,3,1,3,0,85
102112,Photo,3,1,18,0,120
100732,Photo,3,7,15,0,2
100732,Photo,3,7,15,0,3
100732,Photo,3,7,12,0,4
100732,Photo,3,6,17,0,5
100732,Link,3,7,14,0,6
100732,Photo,3,7,18,0,7
100732,Photo,3,6,15,0,17
100732,Photo,3,6,15,0,110
100732,Photo,3,6,13,1,143
100732,Photo,3,6,10,0,149
100732,Photo,3,7,17,0,230
100732,Photo,3,6,17,0,237
98195,Photo,3,5,4,1,0
98195,Photo,3,5,10,0,36
98195,Link,3,6,6,0,49
98195,Photo,3,6,3,0,86
98195,Photo,3,4,13,0,771
96749,Photo,3,1,13,1,63
96749,Photo,3,7,5,1,67
96749,Photo,3,2,5,0,68
96749,Photo,3,2,9,0,73
96749,Photo,3,7,10,1,118
96749,Photo,3,1,2,1,228
93684,Photo,2,6,13,1,266
93577,Photo,2,6,6,0,172
93470,Photo,2,5,12,0,125
93363,Photo,2,5,6,0,68
93256,Photo,2,4,12,0,128
93149,Photo,2,4,3,0,282
93042,Photo,2,3,13,0,217
92935,Photo,2,3,9,1,29
92828,Photo,2,3,6,0,178
92721,Photo,2,2,13,0,165
92614,Photo,2,2,3,1,163
92507,Photo,2,1,13,0,1873
92400,Photo,2,1,4,0,95
92293,Photo,2,7,13,1,311
92186,Photo,2,7,2,1,176
92079,Photo,2,6,13,0,313
91972,Photo,2,6,3,0,170
91865,Photo,2,5,13,1,71
91758,Photo,2,5,3,1,238
91651,Photo,2,4,12,0,305
91544,Photo,2,4,3,0,264
91437,Link,2,3,13,0,131
91330,Photo,2,3,3,0,224
91223,Photo,2,2,13,0,61
91116,Photo,2,2,4,1,182
91009,Photo,2,1,12,0,86
86909,Photo,1,6,16,1,84
86909,Photo,1,5,13,0,106
86909,Link,1,6,4,0,107
86909,Photo,1,5,4,0,127
86909,Photo,1,4,11,0,515
86909,Photo,1,6,10,1,633
86491,Link,1,4,4,1,7
86491,Link,1,2,2,0,14
86491,Photo,1,3,3,0,97
86491,Photo,1,2,7,0,108
86491,Photo,1,3,10,0,226
85979,Photo,1,1,2,0,66
85979,Photo,1,1,12,0,83
85979,Photo,1,7,2,0,103
85979,Photo,1,6,11,0,110
85979,Link,1,5,11,0,137
85979,Photo,1,6,3,1,152
85979,Photo,1,7,10,0,378
85093,Photo,1,7,2,0,84
85093,Photo,1,7,10,0,176
85093,Photo,1,1,2,0,257
81370,Photo,1,5,8,0,75
81370,Photo,1,5,2,0,115
81370,Photo,1,4,4,0,119
81370,Photo,1,4,11,0,136
